SCHOOLJAAR 2013-2014 IN HET VO (peildatum 1 oktober 2013);;;;;;;SCHOOLJAAR 2014-2015 IN HET MBO (peildatum 1 oktober 2014);;;;;;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;LEERWEG MBO;MBO SECTOR;KWALIFICATIE CODE;KWALIFICATIE NAAM;BRIN NUMMER KENNISCENTRUM;NAAM KENNISCENTRUM;GEMEENTENUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00JT;0;307;AMERSFOORT;havo;geen diploma;ec/maat;27DV;BBL;techniek;94274;Installeren (Monteur koudetechniek);02PR;Kenteq;313;Bunschoten;1
00JT;0;307;AMERSFOORT;havo;geen diploma;ec/maat;30RR;BOL;economie;90532;Medewerker marketing en communicatie (Marketing medewerker);00SP;ECABO;313;Bunschoten;1
00JT;0;307;AMERSFOORT;havo;geen diploma;ec/maat;30RR;BOL;economie;93212;Financiële beroepen (Bedrijfsadministrateur);00SP;ECABO;313;Bunschoten;1
00JT;0;307;AMERSFOORT;havo;geen diploma;ec/maat;30RR;BOL;economie;93802;Commercieel medewerker ((Junior) Accountmanager);00SE;Kenniscentrum Handel;342;Soest;1
00JT;0;307;AMERSFOORT;havo;geen diploma;cul/maat;25PM;BOL;economie;94100;Reizen (Manager verkoop reizen);02PY;Kenwerk;267;Nijkerk;1
00JT;0;307;AMERSFOORT;havo;diploma;nat/tech;25PZ;BOL;economie;95321;ICT- en mediabeheer (ICT-beheerder);00SP;ECABO;34;Almere;1
00JT;0;307;AMERSFOORT;havo;diploma;nat/gezond;01AA;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;148;Dalfsen;1
00JT;0;307;AMERSFOORT;havo;diploma;ec/maat;02PK;BOL;techniek;22039;Middenkaderfunctionaris afbouw en onderhoud;02FW;Savantis;313;Bunschoten;1
00JT;0;307;AMERSFOORT;havo;diploma;nat/tech & nat/gezond;01AA;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;327;Leusden;1
00JT;0;307;AMERSFOORT;havo;diploma;ec/maat & cul/maat;23KG;BOL;techniek;90414;Mediavormgever (Interactieve vormgeving);02PT;Kenniscentrum GOC;307;Amersfoort;1
