SCHOOLJAAR 2011-2012 IN HET VO (peildatum 1 oktober 2011);;;;;;;SCHOOLJAAR 2012-2013 IN HET MBO (peildatum 1 oktober 2012);;;;;;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;LEERWEG MBO;MBO SECTOR;KWALIFICATIE NAAM;KWALIFICATIE CODE;BRIN NUMMER KENNISCENTRUM;NAAM KENNISCENTRUM;GEMEENTENUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00CB;0;268;Nijmegen;havo;geen diploma;nat/gezond;04FO;BOL;economie ;Interieuradviseur;90940;00SE;Kenniscentrum Handel;0;0;1
00CB;0;268;Nijmegen;havo;geen diploma;nat/gezond;25LF;BOL;techniek ;Vormgeving ruimtelijke presentatie en communicatie (Medewerker productpresentat;91530;02FW;Savantis;268;Nijmegen;1
00CB;0;268;Nijmegen;havo;geen diploma;nat/gezond;30BC;BOL;combinatie;Podium- en evenemententechniek;22090;02PT;Kenniscentrum GOC;856;Uden;1
00CB;0;268;Nijmegen;havo;geen diploma;cul/maat;25PN;BOL;combinatie;Juridisch medewerker;22161;00SP;ECABO;268;Nijmegen;1
00CB;0;268;Nijmegen;havo;geen diploma;cul/maat;26CC;BOL;landbouw ;Natuur en vormgeving (specialist natuur en vormgeving);97490;25DC;Aequor;268;Nijmegen;1
00CB;0;268;Nijmegen;havo;diploma;ec/maat;28DE;BOL;combinatie;Applicatie- en mediaontwikkeling (Applicatieontwikkelaar);95311;00SP;ECABO;786;Grave;1
00CB;0;268;Nijmegen;vwo;geen diploma;nat/tech;25LT;BOL;zorg en welzijn;Tandartsassistent;91410;02QG;Calibris;983;Venlo;1
00CB;1;355;Zeist;havo;geen diploma;nat/tech;01OE;BOL;combinatie;Recreatiedieren (Ondernemer/manager recreatiedieren);97730;25DC;Aequor;1581;Utrechtse Heuvelrug;1
00CB;1;355;Zeist;havo;geen diploma;cul/maat;25LH;BBL;combinatie;Sport en bewegen (Sport- en bewegingsleider);95280;02QG;Calibris;1581;Utrechtse Heuvelrug;1
00CB;2;772;Eindhoven;havo;geen diploma;nat/tech;04FO;BOL;techniek ;Middenkaderfunctionaris bouw en infra (Middenkaderfunctionaris Bouw);94051;02QH;Fundeon;865;Vught;1
00CB;2;772;Eindhoven;havo;geen diploma;nat/tech;25LJ;BOL;economie ;Financiele beroepen;93210;00SP;ECABO;820;Nuenen, Gerwen en Nederwetten;1
