SCHOOLJAAR 2010-2011 IN HET VO (peildatum 1 oktober 2010);;;;;;;SCHOOLJAAR 2011-2012 IN HET MBO (peildatum 1 oktober 2011);;;;;;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;LEERWEG MBO;MBO SECTOR;KWALIFICATIE NAAM;KWALIFICATIE CODE;BRIN NUMMER KENNISCENTRUM;NAAM KENNISCENTRUM;GEMEENTENUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00DI;2;22;Leek;havo;geen diploma;ec/maat;01NJ;BOL;combinatie;Recreatiedieren (Ondernemer/manager recreatiedieren);97730;25DC;Aequor;15;Grootegast;1
00DI;2;22;Leek;havo;geen diploma;ec/maat;25LU;BOL;economie ;Administrateur (Bedrijfsadministrateur);93212;00SP;ECABO;22;Leek;1
00DI;2;22;Leek;havo;geen diploma;ec/maat;25LU;BOL;zorg en welzijn;Sport en bewegen;91400;02QG;Calibris;1699;Noordenveld;1
00DI;2;22;Leek;havo;geen diploma;ec/maat;25LW;BOL;economie ;Manager handel (Filiaalmanager);93492;00SE;Kenniscentrum Handel;1699;Noordenveld;1
00DI;2;22;Leek;havo;geen diploma;ec/maat;25LW;BOL;zorg en welzijn;Pedagogisch Werk 4;92630;02QG;Calibris;1699;Noordenveld;1
00DI;2;22;Leek;havo;geen diploma;ec/maat;25LW;BOL;zorg en welzijn;Maatschappelijke Zorg 4;92660;02QG;Calibris;22;Leek;1
00DI;2;22;Leek;havo;geen diploma;cul/maat;25LW;BOL;economie ;Commercieel medewerker ((Junior) Accountmanager ECABO);93801;00SP;ECABO;22;Leek;1
00DI;2;22;Leek;havo;geen diploma;cul/maat;25LW;BOL;techniek ;Koopvaardij officier kleine schepen;91940;25HV;VTL;22;Leek;1
00DI;2;22;Leek;havo;geen diploma;nat/tech & nat/gezond;25LU;BOL;economie ;ICT-beheer (ICT-beheerder);93191;00SP;ECABO;22;Leek;1
00DI;2;22;Leek;havo;geen diploma;nat/tech & nat/gezond;25LW;BOL;techniek ;Analist;93710;02QD;Kenniscentrum PMLF;22;Leek;1
00DI;2;22;Leek;havo;geen diploma;nat/tech & nat/gezond;25LW;BOL;combinatie;Mbo-Verpleegkundige;95520;02QG;Calibris;22;Leek;1
00DI;2;22;Leek;havo;diploma;nat/tech;04NZ;BOL;techniek ;Machinist;93180;28DV;Combinatie kenniscentra;243;Harderwijk;1
00DI;2;22;Leek;havo;diploma;ec/maat;25LW;BOL;economie ;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;22;Leek;1
00DI;2;22;Leek;havo;diploma;ec/maat;25LW;BOL;combinatie;Schoonheidsspecialist (Allround schoonheidsspecialist);95510;16QY;KOC Nederland;22;Leek;1
00DI;2;22;Leek;havo;diploma;ec/maat & cul/maat;25LW;BOL;economie ;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;1699;Noordenveld;1
00DI;2;22;Leek;havo;diploma;ec/maat & cul/maat;25LW;BOL;techniek ;Artiest (Drama);90032;02PT;Kenniscentrum GOC;1699;Noordenveld;1
00HI;0;1916;Leidschendam-Voorburg;havo;geen diploma;ec/maat;25LN;BOL;zorg en welzijn;Tandartsassistent;91410;02QG;Calibris;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;havo;geen diploma;ec/maat;27GZ;BOL;economie ;Applicatieontwikkelaar;90020;00SP;ECABO;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;havo;geen diploma;ec/maat;27GZ;BOL;economie ;Facilitaire dienstverlener (Facilitaire leidinggevende);94180;02PY;Kenwerk;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;havo;geen diploma;ec/maat;27GZ;BOL;zorg en welzijn;Sport en bewegen (Sport en bewegingsleider);91390;02QG;Calibris;1916;Leidschendam-Voorburg;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;nvt/geen profiel;25PX;BOL;economie ;Particuliere beveiliging (Beveiliger);94850;00SP;ECABO;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;nat/tech;25PX;BOL;economie ;Administrateur (Bedrijfsadministrateur);93212;00SP;ECABO;394;Haarlemmermeer;1
