"Investeringen in vaste activa naar type en regio; nationale rekeningen"
"";"Onderwerpen";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa"
"";"Onderwerpen";"Woningen";"Bedrijfsgebouwen";"Grond-weg- en waterbouwkundige werken";"Vervoermiddelen";"Machines en installaties";"In cultuur gebrachte activa";"Overdrachtskosten op grond";"Computerprogrammatuur en databanken";"Onderzoek en ontwikkeling";"Overige investeringen"
"Regio's";"Perioden";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro"
"Zuidwest-Friesland (CR)";"2011";"113";"48";"55";"37";"104";"2";"5";"47";"36";"46"
"Zuidwest-Friesland (CR)";"2012";"207";"116";"42";"24";"81";"3";"5";"50";"37";"38"
"Zuidwest-Friesland (CR)";"2013*";"123";"59";"38";"33";"58";"4";"4";"48";"37";"40"
"Zuidoost-Friesland (CR)";"1995";"189";"340";"48";"58";"85";"11";"8";"33";"58";"56"
"Zuidoost-Friesland (CR)";"2010";"285";"271";"140";"113";"113";"4";"17";"117";"126";"107"
"Zuidoost-Friesland (CR)";"2011";"281";"215";"144";"93";"230";"3";"18";"122";"165";"105"
"Zuidoost-Friesland (CR)";"2012";"224";"149";"177";"93";"187";"4";"15";"129";"153";"97"
"Zuidoost-Friesland (CR)";"2013*";"216";"110";"120";"93";"139";"6";"13";"127";"156";"96"
"Noord-Drenthe (CR)";"1995";"205";"126";"285";"60";"276";"4";"9";"29";"39";"85"
"Noord-Drenthe (CR)";"2010";"213";"110";"126";"92";"109";"2";"13";"116";"63";"172"
"Noord-Drenthe (CR)";"2011";"243";"124";"140";"70";"163";"2";"14";"114";"68";"136"
"Noord-Drenthe (CR)";"2012";"216";"131";"105";"46";"167";"2";"15";"120";"64";"126"
"Noord-Drenthe (CR)";"2013*";"152";"92";"164";"71";"141";"3";"12";"117";"64";"113"
"Zuidoost-Drenthe (CR)";"1995";"111";"94";"48";"36";"135";"3";"5";"33";"59";"46"
"Zuidoost-Drenthe (CR)";"2010";"193";"123";"83";"35";"112";"2";"11";"81";"81";"80"
"Zuidoost-Drenthe (CR)";"2011";"153";"83";"84";"54";"135";"1";"11";"81";"77";"77"
"Zuidoost-Drenthe (CR)";"2012";"141";"183";"118";"39";"232";"2";"11";"83";"78";"69"
"Zuidoost-Drenthe (CR)";"2013*";"98";"85";"95";"44";"104";"2";"9";"83";"79";"79"
"Zuidwest-Drenthe (CR)";"1995";"109";"97";"84";"30";"78";"2";"7";"24";"43";"41"
"Zuidwest-Drenthe (CR)";"2010";"207";"62";"208";"40";"72";"2";"8";"86";"62";"56"
"Zuidwest-Drenthe (CR)";"2011";"125";"65";"89";"38";"87";"2";"9";"88";"69";"60"
"Zuidwest-Drenthe (CR)";"2012";"126";"85";"162";"33";"108";"2";"9";"89";"65";"59"
"Zuidwest-Drenthe (CR)";"2013*";"106";"90";"82";"36";"103";"3";"7";"97";"65";"64"
"Noord-Overijssel (CR)";"1995";"404";"263";"234";"97";"282";"14";"18";"75";"113";"127"
"Noord-Overijssel (CR)";"2010";"594";"703";"422";"103";"233";"6";"25";"289";"172";"205"
"Noord-Overijssel (CR)";"2011";"699";"732";"322";"140";"234";"4";"26";"289";"183";"200"
"Noord-Overijssel (CR)";"2012";"526";"653";"327";"273";"268";"6";"25";"300";"186";"190"
